,AM1,AM2,AM3,MCR,OR_N
1,55.33,1.72,54,1.66219,92.19
2,59.13,1.2,53,1.58399,92.74
3,57.39,1.42,55,1.61731,91.88
4,56.43,1.78,55,1.66228,92.8
5,55.98,1.58,54,1.63195,92.56
6,56.16,2.12,56,1.68034,92.61
7,54.85,1.17,54,1.58206,92.33
8,52.83,1.5,58,1.54998,92.22
9,54.52,0.87,57,1.5623,91.56
10,54.12,0.88,57,1.57818,92.17
11,51.72,0,56,1.60401,92.75
12,51.29,0,58,1.59594,92.89
13,53.22,1.31,58,1.54814,92.79
14,54.76,1.67,58,1.63134,92.55
15,53.34,1.81,59,1.60228,92.42
16,54.84,2.87,60,1.54949,92.43
17,54.03,1.19,60,1.57841,92.77
18,51.44,0.42,59,1.61183,92.6
19,53.54,1.39,59,1.51081,92.3
20,57.88,1.28,62,1.56443,92.3
21,60.93,1.22,62,1.53995,92.48
22,59.59,1.13,61,1.56949,91.61
23,61.42,1.49,62,1.4133,91.3
24,56.6,2.1,62,1.54777,91.37
25,59.94,2.29,61,1.65523,91.25
26,58.3,3.11,62,1.29994,90.76
27,58.25,3.1,63,1.19975,90.9
28,55.53,2.88,64,1.20817,90.43
29,59.79,1.48,62,1.30621,90.83
30,57.51,0.87,60,1.29842,92.18
31,62.82,0.88,59,1.40483,91.73
32,62.57,0.42,60,1.45056,91.1
33,60.23,0.12,59,1.54357,91.74
34,65.08,0.1,60,1.6894,91.46
35,65.58,0.05,59,1.74695,91.44
36,65.64,0.05,60,1.74919,91.56
37,65.28,0.42,60,1.78053,91.9
38,65.03,0.65,59,1.78104,91.61
39,67.84,0.49,54,1.72387,92.09
40,73.74,0,54,1.73496,90.64
41,72.66,0,55,1.71966,91.09
42,71.31,3.44,55,1.60325,90.51
43,72.3,4.02,55,1.66783,90.24
44,66.61,2.31,52,1.77967,91.9
45,63.66,2.99,52,1.81271,91.92
46,63.85,0.24,50,1.81485,92.16
47,67.25,0,53,1.72526,91.36
48,67.19,0,52,1.86782,92.16
49,62.34,0,48,2.00677,92.68
50,62.98,0,47,1.95366,92.88
51,73.13,0,57,1.81651,91.35
52,65.09,1.01,57,1.45939,90.29
53,64.71,0.61,55,1.38934,90.71
54,64.05,1.64,57,1.33945,90.41
55,63.97,2.8,60,1.42094,90.43
56,70.48,4.64,60,1.5768,89.87
57,71.11,3.56,60,1.41229,89.98
58,69.05,2.51,60,1.54605,90
59,71.99,1.28,55,1.55182,89.66
60,72.03,1.28,56,1.6039,90.08
61,69.9,2.19,56,1.67265,90.67
62,72.16,0.51,56,1.55242,90.59
63,70.97,0.09,55,1.45728,91.06
64,70.55,0.05,52,1.26174,90.69
65,69.73,0.06,54,1.28802,91.11
66,69.93,0.05,55,1.36399,90.32
67,70.6,0,55,1.4221,90.36
68,75.54,0,55,1.67219,90.57
71,44.64,3.73,44,2.08081,94.65
72,67.6,1.84,55,1.64758,91.86
73,64.81,2.24,54,1.69592,91.61
74,63.13,1.6,52,1.66118,92.17
75,63.48,3.46,52,1.48216,91.56
